w_expected,w_upside,w_economic,mean_utility,sd_utility,rank_mean
0.55,0.15,0.3,55.841351351351356,14.705272327782112,35
0.8,0.15,0.05,55.81378378378379,14.67914627235812,36
0.7,0.15,0.15,55.81378378378379,15.487998642560374,37
0.45,0.2,0.35,55.784324324324324,13.765276875074015,38
0.45,0.35,0.2,55.641081081081076,15.589540614674206,39
0.5,0.2,0.3,55.57351351351352,14.437880002929068,40
0.5,0.15,0.35,55.52162162162163,15.215061345316418,41
0.5,0.35,0.15,55.48594594594594,14.648144641607054,42
0.35,0.35,0.3,55.461891891891895,15.332699957541331,43
0.55,0.0,0.45,55.46081081081081,16.123359240965055,44
0.45,0.4,0.15,55.3681081081081,16.09718640664294,45
0.5,0.05,0.45,55.28243243243244,15.532217664763316,46
0.35,0.4,0.25,55.26810810810811,15.763991463994039,47
0.6,0.2,0.2,55.25702702702703,15.148490182351667,48
0.6,0.1,0.3,55.24108108108108,16.386083659242306,49
0.4,0.35,0.25,55.167297297297296,16.475212803995493,50
0.7,0.3,0.0,55.09486486486487,13.15461761377215,51
0.55,0.25,0.2,55.01405405405406,14.107603438386507,52
0.3,0.45,0.25,54.91675675675676,15.685857581849902,53
0.45,0.1,0.45,54.796216216216216,18.37978348188141,54
0.35,0.3,0.35,54.795675675675675,16.110398046765486,55
0.85,0.15,0.0,54.761351351351344,15.275663499349067,56
0.75,0.15,0.1,54.74621621621621,14.584628580832659,57
0.65,0.2,0.15,54.71918918918919,14.597403760482424,58
0.55,0.3,0.15,54.66432432432432,14.791966013973887,59
0.55,0.35,0.1,54.60567567567567,15.339414109581408,60
0.9,0.1,0.0,54.57297297297297,15.55280376024866,61
0.4,0.45,0.15,54.48243243243243,16.180124536913496,62
0.6,0.25,0.15,54.37972972972973,13.801761257673377,63
0.4,0.4,0.2,54.32297297297298,15.843257743151057,64
0.6,0.3,0.1,54.26243243243243,14.0346035461176,65
0.3,0.4,0.3,54.2572972972973,17.641272259588785,66
0.4,0.2,0.4,54.241081081081084,15.562546882353974,67
0.7,0.2,0.1,54.23405405405405,14.73526221526283,68
0.45,0.15,0.4,54.218648648648646,15.723019246767917,69
0.5,0.4,0.1,54.174054054054054,14.938891536199414,70
0.65,0.3,0.05,54.148918918918916,13.659090539064243,71
