temporada,rodada_target,lineup_strategy,captain_rule,captain_player_id,captain_realized_score,captain_bonus,final_team_utility_with_captain,oracle_realized_score,captain_regret_score,is_oracle
2025,23,FAME-DOC,Highest Market Value,96610,3.7,1.85,50.95000000000001,14.3,10.600000000000001,False
2025,23,FAME-DOC,Highest Historical Mean,96610,3.7,1.85,50.95000000000001,14.3,10.600000000000001,False
2025,23,FAME-DOC,Highest Expected Performance,96610,3.7,1.85,50.95000000000001,14.3,10.600000000000001,False
2025,23,FAME-DOC,Highest Conditional Prediction,96610,3.7,1.85,50.95000000000001,14.3,10.600000000000001,False
2025,23,FAME-DOC,Highest FAME Representation,96610,3.7,1.85,50.95000000000001,14.3,10.600000000000001,False
2025,24,FAME-DOC,Highest Market Value,96610,1.2,0.6,44.19,16.1,14.900000000000002,False
2025,24,FAME-DOC,Highest Historical Mean,96610,1.2,0.6,44.19,16.1,14.900000000000002,False
2025,24,FAME-DOC,Highest Expected Performance,96610,1.2,0.6,44.19,16.1,14.900000000000002,False
2025,24,FAME-DOC,Highest Conditional Prediction,96610,1.2,0.6,44.19,16.1,14.900000000000002,False
2025,24,FAME-DOC,Highest FAME Representation,78850,16.1,8.05,51.64,16.1,0.0,True
2025,25,FAME-DOC,Highest Market Value,114802,1.6,0.8,21.06,4.5,2.9,False
2025,25,FAME-DOC,Highest Historical Mean,114802,1.6,0.8,21.06,4.5,2.9,False
2025,25,FAME-DOC,Highest Expected Performance,114802,1.6,0.8,21.06,4.5,2.9,False
2025,25,FAME-DOC,Highest Conditional Prediction,114802,1.6,0.8,21.06,4.5,2.9,False
2025,25,FAME-DOC,Highest FAME Representation,114802,1.6,0.8,21.06,4.5,2.9,False
2025,26,FAME-DOC,Highest Market Value,96610,6.2,3.1,66.30999999999999,13.0,6.8,False
2025,26,FAME-DOC,Highest Historical Mean,96610,6.2,3.1,66.30999999999999,13.0,6.8,False
2025,26,FAME-DOC,Highest Expected Performance,96610,6.2,3.1,66.30999999999999,13.0,6.8,False
2025,26,FAME-DOC,Highest Conditional Prediction,96610,6.2,3.1,66.30999999999999,13.0,6.8,False
2025,26,FAME-DOC,Highest FAME Representation,96610,6.2,3.1,66.30999999999999,13.0,6.8,False
2025,27,FAME-DOC,Highest Market Value,68685,8.2,4.1,62.660000000000004,20.6,12.400000000000002,False
2025,27,FAME-DOC,Highest Historical Mean,78850,-1.2,-0.6,57.96,20.6,21.8,False
2025,27,FAME-DOC,Highest Expected Performance,68685,8.2,4.1,62.660000000000004,20.6,12.400000000000002,False
2025,27,FAME-DOC,Highest Conditional Prediction,68685,8.2,4.1,62.660000000000004,20.6,12.400000000000002,False
2025,27,FAME-DOC,Highest FAME Representation,78850,-1.2,-0.6,57.96,20.6,21.8,False
2025,28,FAME-DOC,Highest Market Value,114802,25.8,12.9,75.92,25.8,0.0,True
2025,28,FAME-DOC,Highest Historical Mean,78850,15.1,7.55,70.57,25.8,10.700000000000001,False
2025,28,FAME-DOC,Highest Expected Performance,114802,25.8,12.9,75.92,25.8,0.0,True
2025,28,FAME-DOC,Highest Conditional Prediction,114802,25.8,12.9,75.92,25.8,0.0,True
2025,28,FAME-DOC,Highest FAME Representation,78850,15.1,7.55,70.57,25.8,10.700000000000001,False
2025,29,FAME-DOC,Highest Market Value,78850,21.0,10.5,75.2,21.0,0.0,True
2025,29,FAME-DOC,Highest Historical Mean,78850,21.0,10.5,75.2,21.0,0.0,True
2025,29,FAME-DOC,Highest Expected Performance,122486,10.9,5.45,70.15,21.0,10.1,False
2025,29,FAME-DOC,Highest Conditional Prediction,122486,10.9,5.45,70.15,21.0,10.1,False
2025,29,FAME-DOC,Highest FAME Representation,122486,10.9,5.45,70.15,21.0,10.1,False
2025,30,FAME-DOC,Highest Market Value,96610,4.0,2.0,57.42000000000001,12.3,8.3,False
2025,30,FAME-DOC,Highest Historical Mean,122486,0.0,0.0,55.42000000000001,12.3,12.3,False
2025,30,FAME-DOC,Highest Expected Performance,96610,4.0,2.0,57.42000000000001,12.3,8.3,False
2025,30,FAME-DOC,Highest Conditional Prediction,96610,4.0,2.0,57.42000000000001,12.3,8.3,False
2025,30,FAME-DOC,Highest FAME Representation,122486,0.0,0.0,55.42000000000001,12.3,12.3,False
2025,31,FAME-DOC,Highest Market Value,96610,4.9,2.45,63.33,17.4,12.499999999999998,False
2025,31,FAME-DOC,Highest Historical Mean,106708,5.4,2.7,63.58,17.4,11.999999999999998,False
2025,31,FAME-DOC,Highest Expected Performance,96610,4.9,2.45,63.33,17.4,12.499999999999998,False
2025,31,FAME-DOC,Highest Conditional Prediction,96610,4.9,2.45,63.33,17.4,12.499999999999998,False
2025,31,FAME-DOC,Highest FAME Representation,113103,0.0,0.0,60.879999999999995,17.4,17.4,False
2025,32,FAME-DOC,Highest Market Value,96610,0.2,0.1,62.550000000000004,17.0,16.8,False
2025,32,FAME-DOC,Highest Historical Mean,78850,2.2,1.1,63.550000000000004,17.0,14.8,False
2025,32,FAME-DOC,Highest Expected Performance,96610,0.2,0.1,62.550000000000004,17.0,16.8,False
2025,32,FAME-DOC,Highest Conditional Prediction,96610,0.2,0.1,62.550000000000004,17.0,16.8,False
2025,32,FAME-DOC,Highest FAME Representation,78850,2.2,1.1,63.550000000000004,17.0,14.8,False
2025,33,FAME-DOC,Highest Market Value,96610,6.0,3.0,66.57,14.6,8.6,False
2025,33,FAME-DOC,Highest Historical Mean,104084,6.3,3.15,66.71999999999998,14.6,8.3,False
2025,33,FAME-DOC,Highest Expected Performance,122486,9.2,4.6,68.16999999999999,14.6,5.4,False
2025,33,FAME-DOC,Highest Conditional Prediction,122486,9.2,4.6,68.16999999999999,14.6,5.4,False
2025,33,FAME-DOC,Highest FAME Representation,122486,9.2,4.6,68.16999999999999,14.6,5.4,False
2025,34,FAME-DOC,Highest Market Value,68685,8.7,4.35,79.56,17.8,9.100000000000001,False
2025,34,FAME-DOC,Highest Historical Mean,78850,11.2,5.6,80.81,17.8,6.600000000000001,False
