temporada,rodada_target,strategy,score_column,operational_utility_no_captain,objective_value,cost_total,budget_remaining,budget_binding_indicator,formation_selected,n_selected,lineup_signature
2025,3,No upside,ab_no_upside,54.37,10.937947285739222,109.49000000000001,0.5099999999999909,False,4-3-3,12,107771|110510|111594|112709|142279|37715|89256|90285|93879|94207|94509|99815
2025,4,No upside,ab_no_upside,39.53,11.08245568969946,108.49,1.5100000000000051,False,4-3-3,12,102975|104085|110818|112709|112886|117910|72018|77664|87999|91607|92087|95131
2025,5,No upside,ab_no_upside,50.26,11.16944561997461,109.53999999999999,0.46000000000000796,False,4-3-3,12,102975|104085|104118|112709|117910|122302|70696|71684|89256|91607|94207|98672
2025,6,No upside,ab_no_upside,70.55000000000001,11.172621537946615,109.63999999999999,0.36000000000001364,False,4-3-3,12,101290|102975|107111|110818|112709|141754|70360|71684|79066|90768|91607|98672
2025,7,No upside,ab_no_upside,52.449999999999996,11.215631196298744,109.19,0.8100000000000023,False,4-3-3,12,104027|112709|70360|71684|78850|79066|89256|90768|94207|96610|98909|99815
2025,8,No upside,ab_no_upside,64.03,11.127121436810018,109.84,0.1599999999999966,False,4-3-3,12,104085|104271|122302|37457|68899|70360|71684|78850|79066|91607|96610|99815
2025,9,No upside,ab_no_upside,58.0,11.20579996704564,109.45,0.5499999999999972,False,4-3-3,12,104085|110727|112709|112886|37457|70360|71684|78850|87999|91607|91808|99815
2025,10,No upside,ab_no_upside,61.77,11.277955533677908,109.5,0.5,False,4-3-3,12,104118|104204|112709|126977|132553|70360|71684|78850|89256|90703|91607|99815
2025,11,No upside,ab_no_upside,75.86,11.23390522875817,109.99,0.010000000000005116,False,4-3-3,12,104027|104204|107726|112709|132553|71684|78850|85004|87999|90703|91607|99815
2025,12,No upside,ab_no_upside,68.72,11.411683681737157,109.77,0.23000000000000398,False,4-3-3,12,104250|104994|107554|109401|111683|112709|115248|122486|126977|87999|91607|96610
2025,13,No upside,ab_no_upside,44.199999999999996,11.096286107290235,109.99,0.010000000000005116,False,4-3-3,12,104118|104994|107554|107726|110727|112709|112886|132580|37457|71684|96610|99815
2025,14,No upside,ab_no_upside,86.92999999999999,11.383663771915451,109.84,0.1599999999999966,False,4-3-3,12,103056|104027|112886|115248|130811|70360|71684|78850|80287|90703|90768|96610
2025,15,No upside,ab_no_upside,49.07999999999999,11.122521936951575,109.56000000000002,0.4399999999999835,False,4-3-3,12,106593|107554|107726|112709|112886|122486|142890|37457|71684|72018|90703|96610
2025,16,No upside,ab_no_upside,46.14999999999999,11.367445608380338,109.93,0.06999999999999318,False,4-3-3,12,103056|104027|106593|107726|112709|131617|70360|71684|78850|84558|90703|96610
2025,17,No upside,ab_no_upside,47.449999999999996,11.12327225972356,109.72000000000001,0.2799999999999869,False,4-3-3,12,103056|104027|105647|106593|107554|107726|112709|122486|142890|68685|71684|80287
2025,18,No upside,ab_no_upside,56.92999999999999,11.138712241653417,109.89999999999999,0.10000000000000853,False,4-3-3,12,104027|104118|105647|106593|107726|110510|112709|112886|126471|68685|71684|80287
