w_expected,w_upside,w_economic,l1_distance_to_original,mean_utility_2024,rank_2024,mean_utility_2025,rank_2025
0.35,0.3,0.35,0.7,51.199459459459455,92,54.795675675675675,55
0.35,0.35,0.3,0.7,53.23567567567568,70,55.461891891891895,43
0.35,0.4,0.25,0.7000000000000001,53.453783783783784,68,55.26810810810811,47
0.35,0.45,0.2,0.7,52.413243243243244,80,53.777027027027025,76
0.35,0.5,0.15,0.7,52.31864864864865,81,52.92027027027027,81
0.35,0.55,0.1,0.7,52.45324324324324,79,51.32729729729729,109
0.35,0.6,0.05,0.8,50.39648648648649,101,49.98783783783784,123
0.35,0.65,0.0,0.9,50.68351351351351,95,50.325675675675676,118
0.4,0.0,0.6,1.0,44.67864864864865,173,49.95162162162162,124
0.4,0.05,0.55,0.9,45.98513513513514,154,52.817837837837835,83
0.4,0.1,0.5,0.7999999999999999,46.76783783783784,139,52.093513513513514,99
0.4,0.15,0.45,0.7,48.548918918918915,120,52.118648648648644,97
0.4,0.2,0.4,0.6,50.01486486486486,108,54.241081081081084,67
0.4,0.25,0.35,0.5999999999999999,51.82459459459459,85,56.14702702702703,27
0.4,0.3,0.3,0.5999999999999999,53.86702702702703,65,56.10648648648649,29
0.4,0.35,0.25,0.5999999999999999,54.44054054054054,56,55.167297297297296,50
0.4,0.4,0.2,0.6,53.58135135135135,67,54.32297297297298,64
0.4,0.45,0.15,0.5999999999999999,54.010270270270276,64,54.48243243243243,62
0.4,0.5,0.1,0.5999999999999999,54.06864864864865,61,51.69027027027027,104
0.4,0.55,0.05,0.7,52.994594594594595,72,49.87405405405405,125
0.4,0.6,0.0,0.7999999999999999,50.336756756756756,102,50.263513513513516,120
0.45,0.0,0.55,0.9,46.58837837837838,145,53.78135135135135,75
0.45,0.05,0.5,0.8,47.17189189189189,135,53.32,79
0.45,0.1,0.45,0.7,48.65945945945946,119,54.796216216216216,54
0.45,0.15,0.4,0.6,51.53837837837838,88,54.218648648648646,69
0.45,0.2,0.35,0.4999999999999999,51.19405405405406,93,55.784324324324324,38
0.45,0.25,0.3,0.4999999999999999,54.19,60,56.47540540540541,22
0.45,0.3,0.25,0.4999999999999999,55.472972972972975,35,56.83837837837838,14
