season,round_target,position_id,position,n_train_performance,n_predicted,max_train_time_key,target_time_key,strict_no_future_training
2025,8,2,lateral,7210,111,202507,202508,True
2025,8,3,zagueiro,6975,121,202507,202508,True
2025,8,4,meia,15565,217,202507,202508,True
2025,8,5,atacante,12539,176,202507,202508,True
2025,8,6,tecnico,3003,20,202507,202508,True
2025,9,1,goleiro,2942,69,202508,202509,True
2025,9,2,lateral,7259,113,202508,202509,True
2025,9,3,zagueiro,7019,121,202508,202509,True
2025,9,4,meia,15680,217,202508,202509,True
2025,9,5,atacante,12627,176,202508,202509,True
2025,9,6,tecnico,3023,18,202508,202509,True
2025,10,1,goleiro,2962,69,202509,202510,True
2025,10,2,lateral,7308,112,202509,202510,True
2025,10,3,zagueiro,7068,120,202509,202510,True
2025,10,4,meia,15792,219,202509,202510,True
2025,10,5,atacante,12711,177,202509,202510,True
2025,10,6,tecnico,3041,20,202509,202510,True
2025,11,1,goleiro,2981,69,202510,202511,True
2025,11,2,lateral,7349,114,202510,202511,True
2025,11,3,zagueiro,7112,121,202510,202511,True
2025,11,4,meia,15893,219,202510,202511,True
2025,11,5,atacante,12789,177,202510,202511,True
2025,11,6,tecnico,3061,20,202510,202511,True
2025,12,1,goleiro,3001,71,202511,202512,True
2025,12,2,lateral,7400,115,202511,202512,True
2025,12,3,zagueiro,7160,121,202511,202512,True
2025,12,4,meia,15998,223,202511,202512,True
2025,12,5,atacante,12876,176,202511,202512,True
2025,12,6,tecnico,3081,20,202511,202512,True
2025,13,1,goleiro,3013,72,202512,202513,True
2025,13,2,lateral,7428,115,202512,202513,True
2025,13,3,zagueiro,7190,121,202512,202513,True
2025,13,4,meia,16061,224,202512,202513,True
2025,13,5,atacante,12930,175,202512,202513,True
2025,13,6,tecnico,3101,20,202512,202513,True
2025,14,1,goleiro,3029,71,202513,202514,True
2025,14,2,lateral,7469,110,202513,202514,True
2025,14,3,zagueiro,7226,120,202513,202514,True
2025,14,4,meia,16140,221,202513,202514,True
2025,14,5,atacante,13002,177,202513,202514,True
2025,14,6,tecnico,3121,19,202513,202514,True
2025,15,1,goleiro,3041,72,202514,202515,True
2025,15,2,lateral,7501,111,202514,202515,True
