w_expected,w_upside,w_economic,n_rounds,mean_utility,median_utility,sd_utility,cumulative_utility,mean_cost,pct_budget_binding,rank_mean,within_1pct_best
0.45,0.15,0.4,37,51.53837837837838,46.56,14.389017515976379,1906.92,83.77729729729731,0.0,88,False
0.25,0.65,0.1,37,51.476216216216216,52.34,14.288586033643803,1904.62,100.72837837837838,0.0,89,False
0.2,0.65,0.15,37,51.384324324324325,52.39,12.77909176492353,1901.22,93.92189189189189,0.0,90,False
0.3,0.4,0.3,37,51.25405405405406,49.11,16.08616407894607,1896.4,85.51891891891891,0.0,91,False
0.35,0.3,0.35,37,51.199459459459455,49.56,15.824231760525088,1894.3799999999999,83.67243243243243,0.0,92,False
0.45,0.2,0.35,37,51.19405405405406,48.78,15.615104414824959,1894.18,86.06405405405405,0.0,93,False
0.55,0.0,0.45,37,50.91567567567568,48.6,17.426316711058426,1883.88,78.94378378378379,0.0,94,False
0.35,0.65,0.0,37,50.68351351351351,52.209999999999994,14.99137811770045,1875.29,108.17054054054054,0.02702702702702703,95,False
0.25,0.7,0.05,37,50.64243243243243,49.95,13.927961166382257,1873.77,104.31027027027027,0.0,96,False
0.25,0.55,0.2,37,50.53297297297297,49.4,13.77314776110564,1869.72,91.32756756756757,0.0,97,False
0.45,0.55,0.0,37,50.53297297297297,50.3,14.020187402627853,1869.72,108.4872972972973,0.02702702702702703,98,False
0.5,0.05,0.45,37,50.53108108108108,49.88999999999999,16.253621439848718,1869.65,79.64054054054054,0.0,99,False
0.15,0.75,0.1,37,50.4627027027027,52.65,13.957523190151024,1867.12,97.49864864864865,0.0,100,False
0.35,0.6,0.05,37,50.39648648648649,49.64,13.266570187299147,1864.67,106.3218918918919,0.0,101,False
0.4,0.6,0.0,37,50.336756756756756,50.64999999999999,13.697801334937347,1862.46,108.17540540540541,0.02702702702702703,102,False
0.3,0.7,0.0,37,50.16567567567567,50.64999999999999,15.393862330404524,1856.1299999999999,107.40243243243243,0.02702702702702703,103,False
0.15,0.7,0.15,37,50.14378378378378,49.4,14.424441901653394,1855.32,92.67243243243243,0.0,104,False
0.3,0.3,0.4,37,50.115675675675675,45.19,16.32544546619386,1854.28,79.42675675675676,0.0,105,False
0.3,0.65,0.05,37,50.09918918918918,50.54,13.754417750586814,1853.6699999999998,105.54540540540542,0.0,106,False
0.3,0.35,0.35,37,50.06702702702703,45.19,16.187219729854245,1852.48,81.46216216216216,0.0,107,False
0.4,0.2,0.4,37,50.01486486486486,46.54999999999999,15.784218493592054,1850.55,82.67081081081082,0.0,108,False
0.2,0.75,0.05,37,49.93027027027027,47.16,14.225924981933217,1847.42,103.23378378378379,0.0,109,False
0.2,0.6,0.2,37,49.77621621621622,47.44,13.027855701310719,1841.72,89.5445945945946,0.0,110,False
0.25,0.4,0.35,37,49.75351351351352,46.34,16.21910502672289,1840.88,80.4581081081081,0.0,111,False
0.25,0.5,0.25,37,49.74297297297297,47.65,14.442382048999026,1840.49,87.83459459459459,0.0,112,False
0.35,0.25,0.4,37,49.73810810810811,44.45,16.31571461945641,1840.31,80.40216216216217,0.0,113,False
0.25,0.75,0.0,37,49.39675675675675,50.64999999999999,14.126077747291445,1827.6799999999998,106.84891891891891,0.0,114,False
0.25,0.45,0.3,37,49.0,46.13,15.778302964655115,1813.0,83.87297297297297,0.0,115,False
0.15,0.8,0.05,37,48.8727027027027,46.61,13.757375324742211,1808.29,102.63270270270272,0.0,116,False
0.15,0.65,0.2,37,48.762702702702704,47.44,14.35718396418258,1804.22,87.50891891891892,0.0,117,False
0.5,0.0,0.5,37,48.68810810810811,45.79,16.0265945363459,1801.46,74.32135135135135,0.0,118,False
0.45,0.1,0.45,37,48.65945945945946,49.87999999999999,15.576825012738555,1800.4,79.01675675675675,0.0,119,False
0.4,0.15,0.45,37,48.548918918918915,46.54999999999999,16.477934367541977,1796.31,78.60324324324324,0.0,120,False
0.2,0.55,0.25,37,48.527567567567566,47.65,14.152518112297862,1795.52,86.32756756756757,0.0,121,False
0.2,0.45,0.35,37,48.47702702702703,46.34,17.264744240610508,1793.65,79.6054054054054,0.0,122,False
0.2,0.5,0.3,37,48.34837837837838,46.13,16.4468488223789,1788.89,82.81243243243243,0.0,123,False
0.1,0.8,0.1,37,48.31675675675676,47.44,13.94894799977046,1787.72,95.24621621621623,0.0,124,False
0.25,0.35,0.4,37,48.28135135135135,44.45,17.267813051095022,1786.4099999999999,78.00756756756758,0.0,125,False
0.35,0.2,0.45,37,48.21378378378379,44.239999999999995,17.070367982649437,1783.91,77.15648648648649,0.0,126,False
0.2,0.4,0.4,37,48.15405405405406,46.13,17.34804591292625,1781.7,76.81756756756756,0.0,127,False
0.25,0.3,0.45,37,47.821351351351346,45.19,17.791545145902273,1769.3899999999999,76.01027027027027,0.0,128,False
0.1,0.55,0.35,37,47.73891891891892,46.510000000000005,17.127613958456383,1766.34,78.08648648648648,0.0,129,False
0.15,0.5,0.35,37,47.733513513513515,46.13,17.053125522615787,1766.14,78.47054054054054,0.0,130,False
0.2,0.35,0.45,37,47.567567567567565,46.13,17.92337105652924,1760.0,75.27945945945946,0.0,131,False
0.15,0.6,0.25,37,47.5527027027027,47.029999999999994,14.808524130950289,1759.45,84.75432432432432,0.0,132,False
0.3,0.25,0.45,37,47.527297297297295,42.85,17.716696244667794,1758.51,77.05891891891892,0.0,133,False
0.15,0.55,0.3,37,47.45243243243243,47.029999999999994,16.110826312591,1755.74,81.4772972972973,0.0,134,False
0.45,0.05,0.5,37,47.17189189189189,46.94,14.960526550046781,1745.36,75.82108108108109,0.0,135,False
0.1,0.7,0.2,37,47.06054054054054,46.5,15.441864263162072,1741.24,85.71567567567567,0.0,136,False
0.2,0.8,0.0,37,46.92189189189189,45.800000000000004,14.224323033654915,1736.11,105.86054054054054,0.0,137,False
0.15,0.4,0.45,37,46.83891891891892,46.13,18.541209025630774,1733.04,74.38945945945946,0.0,138,False
0.4,0.1,0.5,37,46.76783783783784,48.480000000000004,15.830750514800672,1730.41,75.13,0.0,139,False
0.1,0.6,0.3,37,46.75243243243243,47.029999999999994,15.847753153997258,1729.84,80.43864864864865,0.0,140,False
0.1,0.85,0.05,37,46.73486486486487,44.52,13.202273293646067,1729.19,101.03756756756756,0.0,141,False
0.1,0.65,0.25,37,46.725405405405404,46.349999999999994,14.883146619693813,1728.84,83.19648648648649,0.0,142,False
0.1,0.75,0.15,37,46.70324324324324,45.84,15.585929739860113,1728.02,89.48972972972973,0.0,143,False
0.15,0.45,0.4,37,46.678378378378376,45.19,17.742790321942277,1727.1,76.57756756756757,0.0,144,False
