margin,voll_multiplier,model,n_replications,boundary_rate,mean_theta,sd_theta,min_theta,max_theta,boundary_rate_pct
1.3,5.0,LSTM,9,0.0,0.1611111111111111,0.02534484387624258,0.125,0.2,0.0
1.3,5.0,SARIMAX,9,0.0,0.16666666666666666,0.017677669529663695,0.15,0.2,0.0
1.4,0.5,ENTSOE,9,0.0,0.11388888888888887,0.06859199013814303,0.025,0.2,0.0
1.4,0.5,LSTM,9,0.0,0.14444444444444446,0.024295632895188747,0.125,0.175,0.0
1.4,0.5,SARIMAX,9,0.0,0.16388888888888886,0.013176156917368247,0.15,0.175,0.0
1.4,1.0,ENTSOE,9,0.0,0.11944444444444444,0.06821127309893708,0.025,0.2,0.0
1.4,1.0,LSTM,9,0.0,0.1611111111111111,0.022047927592204922,0.125,0.2,0.0
1.4,1.0,SARIMAX,9,0.0,0.16666666666666666,0.012499999999999997,0.15,0.175,0.0
1.4,2.0,ENTSOE,9,0.0,0.13055555555555556,0.0726483157256779,0.05,0.225,0.0
1.4,2.0,LSTM,9,0.0,0.175,0.021650635094610973,0.15,0.2,0.0
1.4,2.0,SARIMAX,9,0.0,0.18055555555555555,0.016666666666666673,0.15,0.2,0.0
1.4,5.0,ENTSOE,9,0.0,0.1527777777777778,0.08426561840065286,0.05,0.275,0.0
1.4,5.0,LSTM,9,0.0,0.19166666666666668,0.033071891388307385,0.15,0.25,0.0
1.4,5.0,SARIMAX,9,0.0,0.18888888888888888,0.01816207893141949,0.175,0.225,0.0
