replication_id,margin,voll_multiplier,voll,model,theta,mean_loss,total_shortage_mw,total_emergency_mw,mean_decision_cost
E2017,1.0,0.5,5000.0,SARIMAX,0.3,4030136.1453144774,0.0,1031847.1364127679,4030136.1453144774
E2017,1.0,0.5,5000.0,LSTM,-0.3,10657352.471935105,768334.2579468132,0.0,160982.82785295794
E2017,1.0,0.5,5000.0,LSTM,-0.275,9917774.423543047,713824.7082692925,0.0,166070.75866200257
E2017,1.0,0.5,5000.0,LSTM,-0.25,9162473.536864921,658146.2994806018,0.0,171403.87182937918
E2017,1.0,0.5,5000.0,LSTM,-0.225,8385238.470756387,600838.0874173227,0.0,177067.87762356445
E2017,1.0,0.5,5000.0,LSTM,-0.2,7603513.442473607,543167.8488518535,20.55715023686298,183187.63848653575
E2017,1.0,0.5,5000.0,LSTM,-0.175,6807664.164766647,484254.1824936828,541.2235084076556,192169.86840486008
E2017,1.0,0.5,5000.0,LSTM,-0.15,6003737.843598721,424102.78783997905,3183.5456100150377,209983.91135857115
E2017,1.0,0.5,5000.0,LSTM,-0.125,5202922.063527943,362340.8283165911,12867.036064362856,252910.74772751774
E2017,1.0,0.5,5000.0,LSTM,-0.1,4410944.057539818,299317.68839676713,29926.27862258752,321904.5985675896
E2017,1.0,0.5,5000.0,LSTM,-0.075,3634854.424392626,235879.05516845424,52848.6552223257,412462.96034270443
E2017,1.0,0.5,5000.0,LSTM,-0.05,2864496.5128303026,170719.34905693005,83991.3474092643,532264.9683367223
E2017,1.0,0.5,5000.0,LSTM,-0.025,2168980.9727030606,108764.03244368307,124050.91316375075,683133.5349478276
E2017,1.0,0.5,5000.0,LSTM,0.0,1641670.2733861061,57331.69773153166,171149.6611296598,858450.3590209195
E2017,1.0,0.5,5000.0,LSTM,0.025,1426918.3137442153,27631.282948279575,222717.17591737467,1049441.7707349318
E2017,1.0,0.5,5000.0,LSTM,0.05,1464830.3125918237,15594.511741407274,277472.67451077607,1251790.534703746
E2017,1.0,0.5,5000.0,LSTM,0.075,1591922.6909064143,9517.468147735686,334290.21988051414,1461902.6342433584
E2017,1.0,0.5,5000.0,LSTM,0.1,1771589.300757877,6426.151380247082,394345.4480336877,1683800.347475813
E2017,1.0,0.5,5000.0,LSTM,0.125,1977270.7177216376,4319.140915936953,457895.2198904053,1918266.0604000941
E2017,1.0,0.5,5000.0,LSTM,0.15,2201978.8450211994,2602.7279260077066,525262.8077201366,2166422.4525894006
E2017,1.0,0.5,5000.0,LSTM,0.175,2442168.5646109087,1243.3853474300613,595480.7680150879,2425182.425984815
E2017,1.0,0.5,5000.0,LSTM,0.2,2703498.0858778628,327.70673498907126,669891.6946607197,2699021.217913531
E2017,1.0,0.5,5000.0,LSTM,0.225,2988883.9163435646,64.9545821734664,748528.6596419117,2987996.5586635987
E2017,1.0,0.5,5000.0,LSTM,0.25,3291785.735078071,0.0,831265.820770363,3291785.735078071
E2017,1.0,0.5,5000.0,LSTM,0.275,3610353.0986092314,0.0,918137.186657703,3610353.0986092314
E2017,1.0,0.5,5000.0,LSTM,0.3,3943842.1960512237,0.0,1009184.7696838153,3943842.1960512237
E2017,1.0,1.0,10000.0,ENTSOE,-0.3,22398428.037748117,814041.65980477,0.0,156852.63324619932
E2017,1.0,1.0,10000.0,ENTSOE,-0.275,20941631.102258276,760540.6598047703,0.0,161831.65404051187
E2017,1.0,1.0,10000.0,ENTSOE,-0.25,19445833.831000768,705605.6598047703,0.0,166990.66693601114
E2017,1.0,1.0,10000.0,ENTSOE,-0.225,17908119.422017943,649126.6598047703,0.0,172418.3344559164
E2017,1.0,1.0,10000.0,ENTSOE,-0.2,16339949.744745234,591497.6103245928,196.04948017733113,178812.85063067882
