position_id,position,model,candidate_id,params_json,folds,mean_RMSE,mean_MAE,mean_R2,mean_correlation
5,atacante,XGB,55,"{""colsample_bytree"": 0.588635434396565, ""learning_rate"": 0.0883902768859083, ""max_depth"": 2, ""n_estimators"": 1050, ""reg_alpha"": 0.060573938698703256, ""reg_lambda"": 0.3321280336991138, ""subsample"": 0.645977518055588}",5,4.2855259476556,3.086321879124141,-0.04130494226202204,0.2005421656816952
5,atacante,XGB,57,"{""colsample_bytree"": 0.5409762570634484, ""learning_rate"": 0.06958609604138169, ""max_depth"": 4, ""n_estimators"": 900, ""reg_alpha"": 0.001271168774577201, ""reg_lambda"": 31.683427938302188, ""subsample"": 0.7857788121327758}",5,4.294488352575263,3.082433341151966,-0.04569186999016619,0.17974011107582485
5,atacante,XGB,12,"{""colsample_bytree"": 0.6119166892021894, ""learning_rate"": 0.05657870886178703, ""max_depth"": 8, ""n_estimators"": 500, ""reg_alpha"": 0.0163288343167791, ""reg_lambda"": 0.08914130472717753, ""subsample"": 0.723521423060447}",5,4.308718875556527,3.1427843028604276,-0.05176613894543429,0.1858022388973048
5,atacante,XGB,46,"{""colsample_bytree"": 0.998124664183706, ""learning_rate"": 0.02737895079301408, ""max_depth"": 6, ""n_estimators"": 1450, ""reg_alpha"": 0.012298214373827988, ""reg_lambda"": 1.326749859079806, ""subsample"": 0.6801607045345008}",5,4.31301980086927,3.127659141844334,-0.054236195952481615,0.18063369260503678
5,atacante,XGB,26,"{""colsample_bytree"": 0.9714782158844173, ""learning_rate"": 0.04360293748713706, ""max_depth"": 7, ""n_estimators"": 950, ""reg_alpha"": 0.003169131557164582, ""reg_lambda"": 0.7007719376827588, ""subsample"": 0.8056433498859406}",5,4.330488765603844,3.1496242819598685,-0.06289636736142512,0.1774349195847858
5,atacante,XGB,62,"{""colsample_bytree"": 0.8656257186084986, ""learning_rate"": 0.0348490031673198, ""max_depth"": 8, ""n_estimators"": 1600, ""reg_alpha"": 0.11172547145130801, ""reg_lambda"": 0.013246779920703116, ""subsample"": 0.8835141197778285}",5,4.3347040424481404,3.171111660282185,-0.06498408776068203,0.17925826763526803
5,atacante,XGB,48,"{""colsample_bytree"": 0.7248227628879249, ""learning_rate"": 0.08192723171766085, ""max_depth"": 7, ""n_estimators"": 600, ""reg_alpha"": 0.4763965963119043, ""reg_lambda"": 6.013176320686056, ""subsample"": 0.582701476290822}",5,4.336829757517546,3.1363500522762804,-0.0654629448126538,0.17234001753147318
5,atacante,XGB,6,"{""colsample_bytree"": 0.5016359183937311, ""learning_rate"": 0.07863135626293781, ""max_depth"": 6, ""n_estimators"": 1350, ""reg_alpha"": 3.234983879907792, ""reg_lambda"": 0.0025639966494586984, ""subsample"": 0.8332323851063848}",5,4.371729623934195,3.1747680199052026,-0.08260095157158327,0.17077148974487072
5,atacante,XGB,34,"{""colsample_bytree"": 0.6455130795948207, ""learning_rate"": 0.06278094966476376, ""max_depth"": 6, ""n_estimators"": 1150, ""reg_alpha"": 0.00011301598909911128, ""reg_lambda"": 1.825867517681074, ""subsample"": 0.9740891489200294}",5,4.374107000546452,3.1460357987730996,-0.08500879865760189,0.16472181316971954
5,atacante,XGB,43,"{""colsample_bytree"": 0.9312926610000432, ""learning_rate"": 0.050802920503119554, ""max_depth"": 5, ""n_estimators"": 1350, ""reg_alpha"": 0.00031079511009794237, ""reg_lambda"": 0.0012852024975186147, ""subsample"": 0.7429024833254516}",5,4.442355523947209,3.2565706203452636,-0.11858429215523966,0.16357087910100324
